Customer,Ticket Price ex VAT,Number of Travellers,Total Cost ex VAT,Ticket Type,Ticket Single or Return,Travel Class,Travel Date,Miles Travelled,Journey Start Point,Journey Finish Point,Air Carrier
Met Office,194.48,1,194.48,Ticket,Single,ECONOMY,02-02-2011,440,SOUTHAMPTON,FRANKFURT,AIR ASIA
Met Office,-93.99,-1,-93.99,Ticket,Single,ECONOMY,02-02-2011,-440,SOUTHAMPTON,FRANKFURT,AIR ASIA
Met Office,2,1,2,Ticket,Single,ECONOMY,07-02-2011,0,EXETER,JERSEY,AIR ASIA
Met Office,93.03,1,93.03,Ticket,Return,ECONOMY,21-02-2011,219,GLASGOW,BELFAST INTL,EASYJET
Met Office,55.51,1,55.51,Ticket,Single,ECONOMY,05-03-2011,256,NEWCASTLE,BRISTOL,EASYJET
Met Office,94.03,1,94.03,Ticket,Return,ECONOMY,20-03-2011,858,INVERNESS,BRISTOL,EASYJET
Met Office,344.38,1,344.38,Ticket,Return,ECONOMY,07-04-2011,4311,MANCHESTER,LARNACA,AIR INDIA
Met Office,318.03,1,318.03,Ticket,Return,ECONOMY,10-04-2011,470,BENBECULA,CARDIFF,AIR ASIA
Met Office,103.92,1,103.92,Ticket,Return,ECONOMY,10-04-2011,0,EXETER,JERSEY,AIR ASIA
Met Office,0,-1,0,Ticket,Return,ECONOMY,10-04-2011,0,EXETER,JERSEY,AIR ASIA
Met Office,106.2,1,106.2,Ticket,Return,ECONOMY,11-04-2011,0,OUARZAZATE,OUARZAZATE,ROYAL AIR MAROC
Met Office,331.1,1,331.1,Ticket,Return,ECONOMY,12-04-2011,1585,LONDON - LHR,VIENNA,INDIGO
Met Office,331.1,1,331.1,Ticket,Return,ECONOMY,12-04-2011,1585,LONDON - LHR,VIENNA,INDIGO
Met Office,2900.96,1,2900.96,Ticket,Return,BUSINESS,13-04-2011,7142,ABERDEEN,ACCRA,BRITISH AIRWAYS
Met Office,2900.72,1,2900.72,Ticket,Return,ECONOMY,13-04-2011,6640,MANCHESTER,ACCRA,BRITISH AIRWAYS
Met Office,359.9,1,359.9,Ticket,Return,ECONOMY,13-04-2011,805,ABERDEEN,BRISTOL,EASTERN AIRWAYS
Met Office,297.7,1,297.7,Ticket,Return,ECONOMY,13-04-2011,1170,LONDON - LHR,MUNICH,BRITISH AIRWAYS
Met Office,266.01,1,266.01,Ticket,Single,ECONOMY,13-04-2011,412,BIRMINGHAM,BENBECULA,AIR ASIA
Met Office,231.69,1,231.69,Ticket,Return,ECONOMY,13-04-2011,721,EDINBURGH,EXETER,AIR ASIA
Met Office,222.19,1,222.19,Ticket,Return,ECONOMY,13-04-2011,721,EDINBURGH,EXETER,AIR ASIA
Met Office,92.72,1,92.72,Ticket,Single,ECONOMY,13-04-2011,450,ABERDEEN,EXETER,AIR ASIA
Met Office,50,1,50,Ticket,Return,ECONOMY,13-04-2011,0,DAMMAM,DAMMAM,INDIGO
Met Office,928.23,1,928.23,Ticket,Return,ECONOMY,14-04-2011,10132,LONDON - LHR,BEIJING,BRITISH AIRWAYS
Met Office,234.47,1,234.47,Ticket,Return,ECONOMY,14-04-2011,237,EXETER,JERSEY,AIR ASIA
Met Office,198.4,1,198.4,Ticket,Single,ECONOMY,14-04-2011,403,BRISTOL,ABERDEEN,EASTERN AIRWAYS
Met Office,180.21,1,180.21,Ticket,Return,ECONOMY,14-04-2011,721,EDINBURGH,EXETER,AIR ASIA
Met Office,155.43,1,155.43,Ticket,Return,ECONOMY,14-04-2011,1071,BRISTOL,GENEVA,EASYJET
Met Office,222.19,1,222.19,Ticket,Return,ECONOMY,15-04-2011,721,EDINBURGH,EXETER,AIR ASIA
Met Office,125.48,1,125.48,Ticket,Single,ECONOMY,15-04-2011,291,EXETER,PARIS,AIR ASIA
Met Office,10.99,1,10.99,Ticket,Return,ECONOMY,15-04-2011,0,EXETER,AMSTERDAM,AIR ASIA
Met Office,10.99,1,10.99,Ticket,Return,ECONOMY,15-04-2011,0,EXETER,AMSTERDAM,AIR ASIA
Met Office,-10.99,-1,-10.99,Ticket,Return,ECONOMY,15-04-2011,0,EXETER,AMSTERDAM,AIR ASIA
Met Office,394.9,1,394.9,Ticket,Return,ECONOMY,16-04-2011,805,ABERDEEN,BRISTOL,EASTERN AIRWAYS
Met Office,205.98,1,205.98,Ticket,Return,ECONOMY,16-04-2011,718,PADERBORN,STANSTED,AIR BERLIN
Met Office,176.05,1,176.05,Ticket,Return,ECONOMY,16-04-2011,1844,STANSTED,PESCARA,RYANAIR
Met Office,503.51,1,503.51,Ticket,Return,ECONOMY,17-04-2011,570,BRISTOL,PARIS,AIR FRANCE
Met Office,503.51,1,503.51,Ticket,Return,ECONOMY,17-04-2011,570,BRISTOL,PARIS,AIR FRANCE
Met Office,203.25,1,203.25,Ticket,Return,ECONOMY,18-04-2011,715,EXETER,GLASGOW,AIR ASIA
Met Office,318.57,1,318.57,Ticket,Return,ECONOMY,19-04-2011,962,HANOVER,BIRMINGHAM,AIR ASIA
Met Office,73.74,1,73.74,Ticket,Single,ECONOMY,19-04-2011,429,BRISTOL,INVERNESS,EASYJET
Met Office,225.64,1,225.64,Ticket,Return,ECONOMY,20-04-2011,520,GLASGOW,BIRMINGHAM,AIR ASIA
Met Office,81.49,1,81.49,Ticket,Single,ECONOMY,20-04-2011,450,ABERDEEN,EXETER,AIR ASIA
Met Office,200.9,1,200.9,Ticket,Single,ECONOMY,21-04-2011,403,BRISTOL,ABERDEEN,EASTERN AIRWAYS
Met Office,149.63,1,149.63,Ticket,Single,ECONOMY,22-04-2011,157,BENBECULA,GLASGOW,AIR ASIA
Met Office,129.94,1,129.94,Ticket,Single,ECONOMY,22-04-2011,2087,BRISTOL,PAPHOS,EASYJET
Met Office,386.84,1,386.84,Ticket,Return,ECONOMY,23-04-2011,2207,LUTON,GIBRALTAR,AIR INDIA
Met Office,149.52,1,149.52,Ticket,Single,ECONOMY,23-04-2011,363,BIRMINGHAM,INVERNESS,AIR ASIA
Met Office,99,1,99,Ticket,Return,ECONOMY,23-04-2011,107,PENZANCE,ISLES OF SCILLY,Scilly Helicopters
Met Office,50.48,1,50.48,Ticket,Single,ECONOMY,23-04-2011,312,GLASGOW,CARDIFF,AIR ASIA
Met Office,635.62,1,635.62,Ticket,Single,ECONOMY,26-04-2011,3667,LONDON - LHR,WASHINGTON,INDIGO
Met Office,1173.72,1,1173.72,Ticket,Return,ECONOMY,27-04-2011,7334,LONDON - LHR,WASHINGTON,INDIGO
Met Office,905.03,1,905.03,Ticket,Return,ECONOMY,27-04-2011,6770,LONDON - LHR,MONTREAL,BRITISH AIRWAYS
Met Office,635.62,1,635.62,Ticket,Single,ECONOMY,27-04-2011,3667,LONDON - LHR,WASHINGTON,INDIGO
Met Office,199.8,1,199.8,Ticket,Return,ECONOMY,28-04-2011,1960,BRISTOL,ROME - CIAMPINO,EASYJET
Met Office,19,1,19,Ticket,Return,ECONOMY,28-04-2011,0,BRISTOL,ROME - CIAMPINO,EASYJET
Met Office,19,1,19,Ticket,Return,ECONOMY,28-04-2011,0,BRISTOL,ROME - CIAMPINO,EASYJET
Met Office,991.53,1,991.53,Ticket,Return,ECONOMY,01-05-2011,9593,LONDON - LHR,GRAND CAYMEN,BRITISH AIRWAYS
Met Office,661.1,1,661.1,Ticket,Single,ECONOMY,01-05-2011,3442,NEW YORK - JFK,LONDON - LHR,VIRGIN ATLANTIC
Met Office,569.6,1,569.6,Ticket,Single,ECONOMY,02-05-2011,3442,NEW YORK - JFK,LONDON - LHR,KLM
Met Office,138.93,1,138.93,Ticket,Return,ECONOMY,02-05-2011,858,INVERNESS,BRISTOL,EASYJET
Met Office,135.8,1,135.8,Ticket,Return,ECONOMY,03-05-2011,1960,BRISTOL,ROME - CIAMPINO,EASYJET
Met Office,102.76,1,102.76,Ticket,Single,ECONOMY,03-05-2011,357,GLASGOW,EXETER,AIR ASIA
Met Office,-79.09,-1,-79.09,Ticket,Return,ECONOMY,03-05-2011,-3306,LONDON - LHR,CRETE,INDIGO
Met Office,2369.49,1,2369.49,Ticket,Return,BUSINESS,04-05-2011,10170,ABERDEEN,KINGSTON,BRITISH AIRWAYS
Met Office,369.2,1,369.2,Ticket,Single,ECONOMY,04-05-2011,2037,LARNACA,LONDON - LHR,AEGEAN AVIATION S.A
Met Office,182.71,1,182.71,Ticket,Return,ECONOMY,04-05-2011,685,DORTMUND,LUTON,EASYJET
Met Office,181.43,1,181.43,Ticket,Return,ECONOMY,04-05-2011,858,INVERNESS,BRISTOL,EASYJET
Met Office,573.63,1,573.63,Ticket,Return,ECONOMY,05-05-2011,13525,LONDON - LHR,SINGAPORE,SINGAPORE AIRLINES
Met Office,461.63,1,461.63,Ticket,Return,ECONOMY,05-05-2011,7125,LONDON - LHR,SINGAPORE,AIR LANKA
Met Office,372.49,1,372.49,Ticket,Return,ECONOMY,05-05-2011,3306,LONDON - LHR,CRETE,INDIGO
Met Office,289.2,1,289.2,Ticket,Return,ECONOMY,05-05-2011,1033,MANCHESTER,FRANKFURT,BRITISH AIRWAYS
Met Office,168.97,1,168.97,Ticket,Return,ECONOMY,05-05-2011,237,EXETER,JERSEY,AIR ASIA
Met Office,152.7,1,152.7,Ticket,Return,ECONOMY,05-05-2011,1170,LONDON - LHR,MUNICH,BRITISH AIRWAYS
Met Office,133.2,1,133.2,Ticket,Single,ECONOMY,05-05-2011,2037,LONDON - LHR,LARNACA,CYPRUS AIRWAYS
Met Office,109.4,1,109.4,Ticket,Single,ECONOMY,05-05-2011,266,MANCHESTER,ABERDEEN,INDIGO
Met Office,377.5,1,377.5,Ticket,Return,ECONOMY,06-05-2011,2296,LONDON - LHR,HELSINKI,BRITISH AIRWAYS
